"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\auth\auth_bloc.dart", "Dart", 117, 0, 12, 129
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\auth\auth_event.dart", "Dart", 55, 0, 20, 75
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\auth\auth_state.dart", "Dart", 17, 0, 5, 22
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\course\course_bloc.dart", "Dart", 162, 3, 25, 190
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\course\course_event.dart", "Dart", 31, 0, 18, 49
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\course\course_state.dart", "Dart", 61, 0, 17, 78
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\filtered_course\filtered_course_bloc.dart", "Dart", 177, 4, 25, 206
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\filtered_course\filtered_course_event.dart", "Dart", 14, 0, 8, 22
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\filtered_course\filtered_course_state.dart", "Dart", 39, 0, 9, 48
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\font\font_bloc.dart", "Dart", 24, 0, 5, 29
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\font\font_event.dart", "Dart", 17, 0, 8, 25
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\font\font_state.dart", "Dart", 14, 0, 4, 18
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\navigation\navigation_bloc.dart", "Dart", 10, 0, 2, 12
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\navigation\navigation_event.dart", "Dart", 5, 0, 1, 6
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\navigation\navigation_state.dart", "Dart", 4, 0, 1, 5
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\profile\profile_bloc.dart", "Dart", 107, 6, 16, 129
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\profile\profile_event.dart", "Dart", 27, 0, 9, 36
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\bloc\profile\profile_state.dart", "Dart", 29, 0, 5, 34
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\config\firebase_config.dart", "Dart", 14, 0, 2, 16
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\controllers\video_controller.dart", "Dart", 199, 6, 24, 229
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\config.dart", "Dart", 0, 0, 1, 1
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\theme\app_colors.dart", "Dart", 23, 5, 7, 35
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\theme\app_theme.dart", "Dart", 49, 0, 5, 54
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\theme\app_typography.dart", "Dart", 45, 0, 2, 47
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\utils\app_dialogs.dart", "Dart", 91, 0, 2, 93
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\core\utils\validators.dart", "Dart", 38, 0, 4, 42
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\firebase_options.dart", "Dart", 48, 12, 3, 63
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\main.dart", "Dart", 81, 0, 5, 86
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\main_screen.dart", "Dart", 67, 0, 3, 70
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\analytics_data.dart", "Dart", 44, 0, 5, 49
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\category.dart", "Dart", 13, 0, 3, 16
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\chat_message.dart", "Dart", 36, 0, 4, 40
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\course.dart", "Dart", 83, 0, 4, 87
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\lesson.dart", "Dart", 84, 2, 10, 96
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\onboarding_item.dart", "Dart", 10, 0, 2, 12
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\prerequisite_course.dart", "Dart", 14, 0, 4, 18
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\profile.dart", "Dart", 54, 0, 8, 62
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\question.dart", "Dart", 46, 0, 9, 55
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\quiz.dart", "Dart", 42, 0, 5, 47
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\quiz_attempt.dart", "Dart", 43, 0, 4, 47
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\review.dart", "Dart", 81, 1, 9, 91
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\simple_payment.dart", "Dart", 15, 0, 4, 19
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\user_model.dart", "Dart", 82, 0, 9, 91
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\models\withdrawal.dart", "Dart", 34, 0, 4, 38
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\respositories\auth_respository.dart", "Dart", 138, 4, 21, 163
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\respositories\category_respository.dart", "Dart", 35, 5, 7, 47
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\respositories\course_repository.dart", "Dart", 325, 25, 48, 398
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\respositories\instructor_respositories.dart", "Dart", 30, 0, 6, 36
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\respositories\review_respository.dart", "Dart", 98, 15, 21, 134
